economy,time,Country,Time,SP.DYN.LE00.IN
BRA,2013,Brazil,2013,74.609
BRA,2012,Brazil,2012,74.335
BRA,2011,Brazil,2011,74.047
BRA,2010,Brazil,2010,73.779
BRA,2009,Brazil,2009,73.457
BRA,2008,Brazil,2008,73.111
BRA,2007,Brazil,2007,72.73
BRA,2006,Brazil,2006,72.296
BRA,2005,Brazil,2005,71.832
BRA,2004,Brazil,2004,71.361
BRA,2003,Brazil,2003,70.884
BRA,2002,Brazil,2002,70.396
BRA,2001,Brazil,2001,69.98
BRA,2000,Brazil,2000,69.584
BRA,1999,Brazil,1999,69.211
BRA,1998,Brazil,1998,68.848
BRA,1997,Brazil,1997,68.505
BRA,1996,Brazil,1996,68.108
BRA,1995,Brazil,1995,67.701
BRA,1994,Brazil,1994,67.293
BRA,1993,Brazil,1993,66.892
BRA,1992,Brazil,1992,66.539
BRA,1991,Brazil,1991,66.203
BRA,1990,Brazil,1990,65.862
IND,2022,India,2022,71.698
IND,2021,India,2021,67.282
IND,2020,India,2020,70.156
IND,2019,India,2019,70.746
IND,2018,India,2018,70.415
IND,2017,India,2017,70.068
IND,2016,India,2016,69.709
IND,2015,India,2015,69.326
IND,2014,India,2014,68.932
IND,2013,India,2013,68.499
IND,2012,India,2012,68.076
IND,2011,India,2011,67.623
IND,2010,India,2010,67.162
IND,2009,India,2009,66.7
IND,2008,India,2008,66.247
IND,2007,India,2007,65.803
IND,2006,India,2006,65.373
IND,2005,India,2005,64.939
IND,2004,India,2004,64.484
IND,2003,India,2003,64.086
IND,2002,India,2002,63.649
IND,2001,India,2001,63.158
IND,2000,India,2000,62.749
IND,1999,India,1999,62.284
IND,1998,India,1998,61.852
IND,1997,India,1997,61.439
IND,1996,India,1996,61.027
IND,1995,India,1995,60.63
IND,1994,India,1994,60.237
IND,1993,India,1993,59.823
IND,1992,India,1992,59.445
IND,1991,India,1991,59.032
IND,1990,India,1990,58.618
CHN,2022,China,2022,78.202
CHN,2021,China,2021,78.117
CHN,2020,China,2020,78.019
CHN,2019,China,2019,77.94
CHN,2018,China,2018,77.709
CHN,2017,China,2017,77.235
CHN,2016,China,2016,77.214
CHN,2015,China,2015,76.975
CHN,2014,China,2014,76.714
CHN,2013,China,2013,76.452
CHN,2012,China,2012,76.2
CHN,2011,China,2011,75.889
CHN,2010,China,2010,75.668
CHN,2009,China,2009,75.317
CHN,2008,China,2008,74.833
CHN,2007,China,2007,74.789
CHN,2006,China,2006,74.404
CHN,2005,China,2005,74.085
CHN,2004,China,2004,73.727
CHN,2003,China,2003,73.385
CHN,2002,China,2002,73.034
CHN,2001,China,2001,72.675
CHN,2000,China,2000,72.288
CHN,1999,China,1999,71.952
CHN,1998,China,1998,71.601
CHN,1997,China,1997,71.227
CHN,1996,China,1996,70.823
CHN,1995,China,1995,70.363
CHN,1994,China,1994,69.835
CHN,1993,China,1993,69.492
CHN,1992,China,1992,69.059
CHN,1991,China,1991,68.61
CHN,1990,China,1990,68.155
USA,2022,United States,2022,77.4341463414634
USA,2021,United States,2021,76.3292682926829
USA,2020,United States,2020,76.9804878048781
USA,2019,United States,2019,78.7878048780488
USA,2018,United States,2018,78.6390243902439
USA,2017,United States,2017,78.5390243902439
USA,2016,United States,2016,78.5390243902439
USA,2015,United States,2015,78.690243902439
USA,2014,United States,2014,78.8414634146341
USA,2013,United States,2013,78.7414634146342
USA,2012,United States,2012,78.7414634146342
USA,2011,United States,2011,78.6414634146341
USA,2010,United States,2010,78.5414634146342
USA,2009,United States,2009,78.390243902439
USA,2008,United States,2008,78.0390243902439
USA,2007,United States,2007,77.9878048780488
USA,2006,United States,2006,77.6878048780488
USA,2005,United States,2005,77.4878048780488
USA,2004,United States,2004,77.4878048780488
USA,2003,United States,2003,77.0365853658537
USA,2002,United States,2002,76.9365853658537
USA,2001,United States,2001,76.8365853658537
USA,2000,United States,2000,76.6365853658537
USA,1999,United States,1999,76.5829268292683
USA,1998,United States,1998,76.5804878048781
USA,1997,United States,1997,76.4292682926829
USA,1996,United States,1996,76.0268292682927
USA,1995,United States,1995,75.6219512195122
USA,1994,United States,1994,75.619512195122
USA,1993,United States,1993,75.419512195122
USA,1992,United States,1992,75.6170731707317
USA,1991,United States,1991,75.3658536585366
USA,1990,United States,1990,75.2146341463415
